img_a,img_b,method,dcor,dcov,mic_e,tic_e,pearson,img
img_9_bw,img_9_noise_low,full,0.779575049562684,0.0779179977663557,0.4057077762707454,3861.515945223901,0.8395669458582036,9
img_9_bw,img_9_noise_low,hist,0.8960938038897474,1125.642217282987,0.7432120593158786,27.143435073990148,0.8732396699074116,9
img_9_bw,img_9_noise_mid,full,0.4042234130104407,0.0558856580285392,0.1014476175429021,840.5531077633023,0.4585622545885636,9
img_9_bw,img_9_noise_mid,hist,0.8858874136422434,1158.387806509052,0.7978625392411748,28.37436473623864,0.8361719234225503,9
img_9_bw,img_9_noise_high,full,0.2609880524274517,0.0449762442300016,0.0429544872662606,340.70532780970115,0.2966000173492779,9
img_9_bw,img_9_noise_high,hist,0.8937171074856503,1142.0288774867345,0.781849992463073,28.565459254551605,0.8446680497748216,9
img_9_noise_low,img_9_noise_low,full,1.000000000000044,0.1114902483837637,1.0000000000000038,13344.90495974687,1.0,9
img_9_noise_low,img_9_noise_low,hist,1.0,1415.6251218734158,1.0000000000000002,41.32011362409147,1.0,9
img_9_noise_low,img_9_noise_mid,full,0.332784665900222,0.0513214881268674,0.0704911274468331,579.8537585110365,0.3852450741815851,9
img_9_noise_low,img_9_noise_mid,hist,0.9789933792935848,1442.635327974738,0.916948420302326,35.94383156998512,0.9782273486624667,9
img_9_noise_low,img_9_noise_high,full,0.2146102826949231,0.0412543849339234,0.0307738196956157,240.08059681897555,0.2485805116925658,9
img_9_noise_low,img_9_noise_high,hist,0.9839331666555958,1416.915584291822,0.9462060682852528,37.22645621572031,0.98281158094671,9
img_9_noise_mid,img_9_noise_mid,full,1.000000000000166,0.2133216751136952,1.0000000000000038,13344.90495974687,1.0,9
img_9_noise_mid,img_9_noise_mid,hist,1.0,1533.9293447345904,1.0000000000000002,41.37695879101874,1.0,9
img_9_noise_mid,img_9_noise_high,full,0.116903081446025,0.0310845510981925,0.0103161004992414,77.64632149860057,0.1346296346439992,9
img_9_noise_mid,img_9_noise_high,hist,0.997766685209582,1495.670484085305,0.9773433438257546,39.66439489380809,0.9976077261506744,9
img_9_noise_high,img_9_noise_high,full,1.0000000000000084,0.3314379978818287,1.0000000000000038,13344.90495974687,1.0,9
img_9_noise_high,img_9_noise_high,hist,1.0,1464.901732764863,1.0000000000000002,41.336288595634215,1.0,9
